表示名
2026/04/25 | 緑黄色大夜祭2026 @ Aichi Sky Expo ホールA (愛知県)
"2025/07/31 | 緑黄色社会 Fan Club Live ""livestone vol.3"" @ Harbor Studio (兵庫県)"
2025/03/28 | 緑黄色社会 Channel U tour 2025 @ 広島文化学園HBGホール (広島県)
2024/06/16 | 緑黄色大夜祭2024 @ 横浜アリーナ (神奈川県)
2024/06/15 | 緑黄色大夜祭2024 @ 横浜アリーナ (神奈川県)
